gene_id	Camb13_P	Camb13_R	Camb4_P	Camb7_P	Camb4_R	Camb7_R	Camb8_P	Camb9_P	Camb9_R	Camb8_R	Camb10_P	Camb10_R
ENSG00000101216	436	404	294	208	296	223	241	231	295	256	99	273
ENSG00000101220	308	325	215	206	145	144	294	182	241	331	76	207
ENSG00000101222	38	19	0	14	6	4	8	14	36	44	39.81	213
ENSG00000101224	1721	2193	1462	1064	687	655	838	961	1346	990	286	1136
ENSG00000101230	31	15	35	17	15	9	13	21	16	13	15	5
ENSG00000101236	2823.57	2957.38	2448.74	1077.59	1806.75	1311.05	1252	1298.93	1715.08	2167.71	567.66	1113
ENSG00000101246	440	529	369	336	358	195	278	336	411	285	192	376
ENSG00000101247	364	417	288	150	228	153	288	290	323	410	92	206
ENSG00000101251	1	0	0	0	0	0	1	0	0	8	0	0
ENSG00000101255	377	221	66	151	105	64	173	169	226	892	46	79
ENSG00000101265	6005	4916	3504	2790	2655	3621	5592	1319	2252	5134	568	2833
ENSG00000101266	3320.55	3290.7	2149.17	1345.97	1934.5	1945.67	2054.78	1674.01	2208.83	2388.73	622.81	1830.98
ENSG00000101276	46	3	47	76	25	16	63	27	24	15	2	11
ENSG00000101278	0	0.55	8.06	0	3.16	0.88	0	0	4.68	3.74	1	0
ENSG00000101280	12	4	9	1	18	4	8	6	6	13	3	8
ENSG00000101282	26	13	21	2	50	5	14	22	27	18	19	50
ENSG00000101290	4539.22	4955.98	2513.97	2132	2849.57	3151.21	3092	2030.94	2481.69	4218.95	897	3010
ENSG00000101292	6	6	0	0	12	3	1	7	4	3	4	1
ENSG00000101294	1176.38	1039.19	912.23	578.79	511.45	368.36	758.26	891.62	1014.39	1172.3	458.02	649.28
ENSG00000101298	361	305	420	361	359.87	507	387	362	355	460	174	1117
ENSG00000101306	19	23	24	12	15	10	10	14	23	16	1	7
ENSG00000101307	59.26	36.34	147.45	23.68	32.84	16.06	32.19	27.61	22.22	59.75	16	12.05
ENSG00000101310	1137	690	612	498	454	550	566	509	838	1142	228	706
ENSG00000101311	236	268	148	156	2417	111	154	1492	2170	320	45	200
ENSG00000101323	0	2	0	1	0	2	2	0	0	1	0	0
ENSG00000101327	408	3	3	3	23	165	56	26	32	18	1	51
ENSG00000101331	20.92	2	25	37.97	7.56	9.51	19	19.45	22.48	25.17	6	9
ENSG00000101333	152	30	253	193	337	167	103	444	405	53	26	151
ENSG00000101335	256	200	219	391	104	152	252	195	261	342	301	229
ENSG00000101336	75	61	182	115	18	30	30	45	67	44	38	95
ENSG00000101337	1207	1293	1117	619	662	634	1085	666	1105	1315	362	950
ENSG00000101342	48.13	55.02	111.71	82.6	44.14	38.23	0	146.78	76.37	79.11	18.67	17
ENSG00000101343	1246	1146	550	316	559	575	535	374	725	866	138	506
ENSG00000101346	1462	1738	1195	614	597	637	1044	572	1041	1229	300	788
ENSG00000101347	1089.87	775.98	1411.29	983.4	663.86	382.77	669	1028.22	1071.63	788.89	249.33	727
ENSG00000101349	29	1	2	3	209	44	16	118	141	6	5	20
